ProductName,BrandName,ChemicalCount,DiscontinuedDate,ChemicalName,Discontinued
04 Lip Gloss Dot,The Body Shop,1,07/10/2013,'Titanium dioxide',0
04 Lip Liner Shade: Mauve Berry,The Body Shop,1,0,'Titanium dioxide',1
04 Liquid Lip Colour Shade: Blush Pink,The Body Shop,1,07/12/2013,'Titanium dioxide',0
04 Moisture Foundation SPF 15,The Body Shop,1,0,'Titanium dioxide',1
04 Oil Free Balancing Foundation SPF 15,The Body Shop,1,0,'Titanium dioxide',1
04 SHIMMER WAVES SHADE: CORAL 01/02/03/04/05,The Body Shop,1,0,'Titanium dioxide',1
04 Sheer Lip Shone Shade: Sheer Blueberry,The Body Shop,1,07/10/2013,'Titanium dioxide',0
04 Ultra Smooth Foundation,The Body Shop,1,07/11/2013,'Titanium dioxide',0
04 Ultra Smooth Liquid Concealer,The Body Shop,1,07/11/2013,'Titanium dioxide',0
040 FRUITY LIPSTICK,L�OCCITANE EN PROVENCE,1,0,'Titanium dioxide',1
045 ALL-IN-ONE FACE BASE,The Body Shop,1,0,'Titanium dioxide',1
05 ALL-IN-ONE CHEEK COLOUR SHADE: BUBBLEGUM,The Body Shop,1,07/10/2013,'Titanium dioxide',0
05 ALL-IN-ONE FACE BASE,The Body Shop,1,0,'Titanium dioxide',1
05 All In One Face Base,The Body Shop,1,0,'Titanium dioxide',1
05 COLOUR CRUSH SHINE LIP COLOUR SHADE: LETS GRAPE IT ON,The Body Shop,1,0,'Titanium dioxide',1
05 COLOURGLIDE SHINE LIP COLOUR SHADE: ICED VIOLET,The Body Shop,1,0,'Titanium dioxide',1
05 CONCEALER,The Body Shop,1,02/19/2014,'Titanium dioxide',0
05 CONCEALER PENCIL,The Body Shop,1,0,'Titanium dioxide',1
05 Cheek Blush Shade: Grape,The Body Shop,1,07/10/2013,'Titanium dioxide',0
05 Cream Eye Colour Shade: Mink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
05 Eye Colour Matte,The Body Shop,1,07/10/2013,'Titanium dioxide',0
05 Eye Colour Shade: Bronzed Amber,The Body Shop,1,07/10/2013,'Titanium dioxide',0
05 Eye Colour Shade: Sage,The Body Shop,1,0,'Titanium dioxide',1
05 Eye Definer Shade: White,The Body Shop,1,0,'Titanium dioxide',1
05 FLAVOURED LIP GLOSS: LYCHEE 12,The Body Shop,1,0,'Titanium dioxide',1
05 FRUITY LIPSTICK,L�OCCITANE EN PROVENCE,1,0,'Titanium dioxide',1
05 Flawless Skin Protecting Foundation SPF 25,The Body Shop,1,07/10/2013,'Titanium dioxide',0
05 Foundation SPF 15,The Body Shop,1,07/10/2013,'Titanium dioxide',0
05 Lightening Touch,The Body Shop,1,0,'Titanium dioxide',1
05 Lip Liner Shade:Chestnut,The Body Shop,1,07/10/2013,'Titanium dioxide',0
05 Loose Face Powder,The Body Shop,1,0,'Titanium dioxide',1
05 Moisture Foundation SPF 15,The Body Shop,1,0,'Titanium dioxide',1
05 Oil-free Balancing Foundation SPF 15,The Body Shop,1,0,'Titanium dioxide',1
05 Sheer Lip Shine Shade: Sheer Ruby,The Body Shop,1,07/10/2013,'Titanium dioxide',0
05 Sheer Lip Shine Shade: Sheer Ruby,The Body Shop,1,07/11/2013,'Titanium dioxide',0
05 Ultra Smooth Foundation,The Body Shop,1,07/10/2013,'Titanium dioxide',0
052 ALL-IN-ONE FACE BASE,The Body Shop,1,0,'Titanium dioxide',1
055 ALL-IN-ONE FACE BASE,The Body Shop,1,0,'Titanium dioxide',1
